Plant,Port,Distance
Plant Lon:52.34 Lat:6.48,Port Lon:52.27 Lat:6.39,0.11401754250991457
Plant Lon:52.86 Lat:8.99,Port Lon:52.7 Lat:8.63,0.3939543120718423
Plant Lon:53.22 Lat:6.68,Port Lon:53.33 Lat:6.25,0.4438468204234425
Plant Lon:53.66 Lat:6.69,Port Lon:53.33 Lat:6.25,0.5499999999999993
Plant Lon:53.18 Lat:6.8,Port Lon:53.33 Lat:6.25,0.5700877125495685
Plant Lon:52.84 Lat:6.92,Port Lon:52.27 Lat:6.39,0.7783315488916022
Plant Lon:52.84 Lat:6.92,Port Lon:53.33 Lat:6.25,0.8300602387778823
Plant Lon:52.66 Lat:7.26,Port Lon:52.27 Lat:6.39,0.9534149149242397
Plant Lon:52.36 Lat:7.71,Port Lon:52.7 Lat:8.63,0.9808159868191402
Plant Lon:53.42 Lat:7.95,Port Lon:52.7 Lat:8.63,0.9903534722511954
Plant Lon:53.22 Lat:6.68,Port Lon:52.27 Lat:6.39,0.9932774033471173
Plant Lon:53.18 Lat:6.8,Port Lon:52.27 Lat:6.39,0.9980981915623302
Plant Lon:52.34 Lat:6.48,Port Lon:53.33 Lat:6.25,1.016366075781748
Plant Lon:52.66 Lat:7.26,Port Lon:53.33 Lat:6.25,1.2120231020900558
Plant Lon:52.36 Lat:7.71,Port Lon:52.27 Lat:6.39,1.3230646242719968
Plant Lon:52.66 Lat:7.26,Port Lon:52.7 Lat:8.63,1.3705838172107545
Plant Lon:53.66 Lat:6.69,Port Lon:52.27 Lat:6.39,1.4220056258679086
Plant Lon:54.28 Lat:8.48,Port Lon:52.7 Lat:8.63,1.5871042813879606
Plant Lon:53.42 Lat:7.95,Port Lon:53.33 Lat:6.25,1.7023806859806656
Plant Lon:52.84 Lat:6.92,Port Lon:52.7 Lat:8.63,1.7157214226091608
Plant Lon:52.36 Lat:7.71,Port Lon:53.33 Lat:6.25,1.7528548142958098
Plant Lon:53.18 Lat:6.8,Port Lon:52.7 Lat:8.63,1.8919038030513076
Plant Lon:53.42 Lat:7.95,Port Lon:52.27 Lat:6.39,1.9380660463462018
Plant Lon:53.22 Lat:6.68,Port Lon:52.7 Lat:8.63,2.018142710513803
Plant Lon:53.66 Lat:6.69,Port Lon:52.7 Lat:8.63,2.1645322820415474
Plant Lon:52.34 Lat:6.48,Port Lon:52.7 Lat:8.63,2.1799311915746333
Plant Lon:54.28 Lat:8.48,Port Lon:53.33 Lat:6.25,2.423922441003426
Plant Lon:52.86 Lat:8.99,Port Lon:52.27 Lat:6.39,2.666102023554237
Plant Lon:52.86 Lat:8.99,Port Lon:53.33 Lat:6.25,2.780017985553331
Plant Lon:54.28 Lat:8.48,Port Lon:52.27 Lat:6.39,2.8996896385647886
